Price,Age,KM,FuelType,HP,MetColor,Automatic,CC,Doors,Weight
13500,23.0,46986,Diesel,90,1,0,2000.0,3,1165.0
13750,23.0,72937,Diesel,90,1,0,2000.0,3,1165.0
13950,24.0,41711,Diesel,90,1,0,2000.0,3,1165.0
14950,26.0,48000,Diesel,90,0,0,2000.0,3,1165.0
13750,30.0,38500,Diesel,90,0,0,2000.0,3,1170.0
12950,32.0,61000,Diesel,90,0,0,2000.0,3,1170.0
16900,27.0,94612,Diesel,90,1,0,2000.0,3,1245.0
18600,30.0,75889,Diesel,90,1,0,2000.0,3,1245.0
21500,27.0,19700,Petrol,192,0,0,1800.0,3,1185.0
12950,23.0,71138,Diesel,69,0,0,1900.0,3,1105.0
20950,25.0,31461,Petrol,192,0,0,1800.0,3,1185.0
19950,22.0,43610,Petrol,192,0,0,1800.0,3,1185.0
19600,25.0,32189,Petrol,192,0,0,1800.0,3,1185.0
21500,31.0,23000,Petrol,192,1,0,1800.0,3,1185.0
22500,32.0,34131,,192,1,0,1800.0,3,1185.0
22000,28.0,18739,Petrol,192,0,0,1800.0,3,1185.0
22750,30.0,34000,Petrol,192,1,0,1800.0,3,1185.0
17950,24.0,21716,Petrol,110,1,0,1600.0,3,1105.0
16750,24.0,25563,Petrol,110,0,0,1600.0,3,1065.0
16950,30.0,64359,Petrol,110,1,0,1600.0,3,1105.0
15950,30.0,67660,Petrol,110,1,0,1600.0,3,1105.0
16950,29.0,43905,Petrol,110,0,1,1600.0,3,1170.0
15950,28.0,56349,Petrol,110,1,0,1600.0,3,1120.0
16950,28.0,32220,Petrol,110,1,0,1600.0,3,1120.0
16250,29.0,25813,Petrol,110,1,0,1600.0,3,1120.0
15950,25.0,28450,Petrol,110,1,0,1600.0,3,1120.0
17495,27.0,34545,Petrol,110,1,0,1600.0,3,1120.0
15750,29.0,41415,Petrol,110,1,0,1600.0,3,1120.0
16950,28.0,44142,Petrol,110,0,0,1600.0,3,1120.0
17950,30.0,11090,Petrol,110,1,0,1600.0,3,1120.0
12950,29.0,9750,Petrol,97,1,0,1400.0,3,1100.0
15750,22.0,35199,Petrol,97,1,0,1400.0,3,1100.0
15950,27.0,29510,Petrol,97,1,0,1400.0,3,1100.0
14950,26.0,32692,Petrol,97,1,0,1400.0,3,1100.0
15500,22.0,41000,Petrol,97,1,0,1400.0,3,1100.0
15750,26.0,43000,Petrol,97,0,0,1400.0,3,1100.0
15950,25.0,25000,Petrol,97,0,0,1400.0,3,1100.0
14950,23.0,10000,Petrol,97,1,0,1400.0,3,1100.0
15750,,25329,Petrol,97,1,0,1400.0,3,1100.0
14750,27.0,27500,Petrol,97,0,0,1400.0,3,1100.0
13950,22.0,49059,Petrol,97,0,0,1400.0,3,1100.0
16750,27.0,44068,Petrol,97,1,0,1400.0,3,1100.0
13950,22.0,46961,Petrol,97,0,0,1400.0,3,1100.0
16950,27.0,110404,Diesel,90,0,0,2000.0,5,1255.0
16950,22.0,100250,Diesel,90,0,0,2000.0,5,1255.0
19000,23.0,84000,Diesel,90,0,0,2000.0,5,1270.0
